Plasma-Dash,,,,
Template sheet: RPM is prefilled every 100rpm from the official range. Enter torque/current/voltage by graph reading or measurement as needed.,,,,
,,,,
ItemNo,15186,,,
ShaftType,single,,,
Official Voltage Range (V),2.4 - 3.0,,,
Official RPM Range,25000 - 28000,,,
Official Torque Range @ rec. load (mN·m),1.4 - 1.9,,,
Official Current Range (A),4.1 - 5.2,,,
Notes,not for official Tamiya races in Japan,,,
Source,https://www.tamiya.com/cms/english/mini4wd/setupguide/motorguide.pdf,,,
,,,,
RPM,Torque_mNm,Current_A,Voltage_V,Note
25000,,,,
25100,,,,
25200,,,,
25300,,,,
25400,,,,
25500,,,,
25600,,,,
25700,,,,
25800,,,,
25900,,,,
26000,,,,
26100,,,,
26200,,,,
26300,,,,
26400,,,,
26500,,,,
26600,,,,
26700,,,,
26800,,,,
26900,,,,
27000,,,,
27100,,,,
27200,,,,
27300,,,,
27400,,,,
27500,,,,
27600,,,,
27700,,,,
27800,,,,
27900,,,,
28000,,,,
